California,2004,Female,41,White,Not Hispanic,Male,43,White
Illinois,2004,Male,16,White,Unknown,Male,26,White
California,2004,Male,28,Black,Not Hispanic,Unknown,0,Unknown
Virginia,2004,Male,53,White,Unknown,Unknown,0,Unknown
Pennsylvania,2004,Male,15,White,Hispanic,Male,25,Black
Ohio,2004,Male,35,White,Unknown,Male,24,Black
California,2004,Female,17,White,Hispanic,Female,17,White
Mississippi,2004,Male,46,White,Unknown,Male,31,Black
California,2004,Male,27,White,Hispanic,Male,27,White
Texas,2004,Male,19,White,Hispanic,Male,17,White
New Jersey,2004,Male,16,White,Unknown,Male,16,White
California,2004,Male,23,White,Hispanic,Male,21,White
Florida,2004,Female,32,White,Unknown,Male,0,Unknown
California,2004,Male,33,Black,Not Hispanic,Male,17,Black
California,2004,Male,27,White,Unknown,Male,30,White
Texas,2004,Male,40,Black,Not Hispanic,Unknown,0,Unknown
Missouri,2004,Female,85,White,Unknown,Male,82,White
Georgia,2004,Male,23,Black,Not Hispanic,Unknown,0,Unknown
Florida,2004,Male,41,Black,Unknown,Male,52,Black
Texas,2004,Male,43,White,Not Hispanic,Male,21,White
Wisconsin,2004,Male,24,Black,Unknown,Male,22,Black
Ohio,2004,Male,48,White,Unknown,Unknown,0,Unknown
Connecticut,2004,Male,26,White,Unknown,Unknown,0,Unknown
Oklahoma,2004,Male,44,White,Not Hispanic,Male,46,White
Pennsylvania,2004,Male,27,White,Not Hispanic,Unknown,0,Unknown
Nevada,2004,Male,35,Black,Unknown,Male,40,Black
California,2004,Male,19,White,Hispanic,Unknown,0,Unknown
California,2004,Male,31,Black,Not Hispanic,Female,19,Black
Arizona,2004,Male,42,White,Hispanic,Male,0,White
California,2004,Male,35,Black,Not Hispanic,Unknown,0,Unknown
Washington,2004,Male,17,Black,Unknown,Unknown,0,Unknown
Colorado,2004,Male,19,White,Unknown,Male,32,White
Kansas,2004,Female,51,White,Unknown,Male,49,White
South Carolina,2004,Male,54,Black,Unknown,Male,46,Black
Maryland,2004,Male,42,Asian/Pacific Islander,Unknown,Unknown,0,Unknown
Arizona,2004,Male,21,White,Hispanic,Male,0,White
Oklahoma,2004,Male,24,Black,Unknown,Male,31,Black
Colorado,2004,Male,19,Black,Unknown,Unknown,0,Unknown
California,2004,Male,1,White,Hispanic,Male,28,White
Alabama,2004,Male,32,Black,Unknown,Male,0,Black
New Jersey,2004,Male,15,White,Unknown,Male,16,White
Idaho,2004,Male,38,White,Unknown,Female,38,White
California,2004,Male,31,Black,Unknown,Male,19,Black
Illinois,2004,Male,15,White,Unknown,Male,27,White
New York,2004,Male,24,Black,Unknown,Male,20,White
California,2004,Male,25,White,Hispanic,Male,22,White
Ohio,2004,Female,2,Black,Unknown,Male,22,Black
Alabama,2004,Male,24,White,Unknown,Unknown,0,Unknown
Texas,2004,Male,64,White,Not Hispanic,Male,19,White
Utah,2004,Male,36,White,Unknown,Male,49,White
Texas,2004,Male,25,Black,Not Hispanic,Male,27,Black
Florida,2004,Female,39,Black,Unknown,Male,38,Black
California,2004,Male,29,Unknown,Unknown,Unknown,0,Unknown
Arizona,2004,Male,99,White,Hispanic,Unknown,0,Unknown
Missouri,2004,Male,20,Black,Not Hispanic,Male,0,Black
Oklahoma,2004,Male,37,White,Unknown,Female,47,White
California,2004,Female,38,White,Hispanic,Male,46,White
Maryland,2004,Male,18,Black,Unknown,Male,19,Black
Pennsylvania,2004,Male,19,Black,Not Hispanic,Male,18,Black
California,2004,Male,17,Black,Not Hispanic,Unknown,0,Unknown
North Carolina,2004,Male,46,White,Not Hispanic,Male,54,White
Texas,2004,Female,23,White,Hispanic,Male,23,White
Missouri,2004,Male,25,White,Not Hispanic,Male,28,White
New Jersey,2004,Male,39,Black,Unknown,Unknown,0,Unknown
Kentucky,2004,Female,44,White,Unknown,Male,22,White
Wisconsin,2004,Male,49,Black,Unknown,Male,25,Black
Illinois,2004,Male,18,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,50,Black,Not Hispanic,Female,16,Black
New York,2004,Male,28,White,Unknown,Unknown,0,Unknown
Colorado,2004,Male,46,White,Unknown,Male,40,White
Maryland,2004,Male,24,Black,Unknown,Male,21,Black
Colorado,2004,Male,99,White,Unknown,Unknown,0,Unknown
California,2004,Male,29,White,Hispanic,Unknown,0,Unknown
Florida,2004,Male,66,White,Unknown,Unknown,0,Unknown
Kentucky,2004,Male,99,White,Unknown,Unknown,0,Unknown
California,2004,Female,20,White,Hispanic,Male,30,White
California,2004,Male,14,Black,Not Hispanic,Male,19,White
Pennsylvania,2004,Female,42,White,Not Hispanic,Male,26,White
Iowa,2004,Female,0,White,Unknown,Male,31,White
Maryland,2004,Male,27,Black,Unknown,Unknown,0,Unknown
New York,2004,Male,18,Black,Unknown,Unknown,0,Unknown
Pennsylvania,2004,Female,43,Black,Hispanic,Unknown,0,Unknown
California,2004,Male,17,White,Hispanic,Unknown,0,Unknown
Pennsylvania,2004,Male,66,White,Not Hispanic,Unknown,0,Unknown
Pennsylvania,2004,Male,34,Black,Not Hispanic,Unknown,0,Unknown
Alabama,2004,Female,18,White,Unknown,Male,20,Black
Colorado,2004,Female,23,White,Unknown,Male,34,White
Kentucky,2004,Male,30,White,Unknown,Unknown,0,Unknown
Oklahoma,2004,Female,58,White,Unknown,Male,31,White
Texas,2004,Male,12,White,Hispanic,Male,16,White
North Carolina,2004,Female,43,Black,Unknown,Unknown,0,Unknown
Minnesota,2004,Male,24,White,Unknown,Male,30,White
Virginia,2004,Male,19,Black,Unknown,Unknown,0,Unknown
Mississippi,2004,Male,48,White,Unknown,Unknown,0,Unknown
California,2004,Male,36,White,Hispanic,Male,26,White
Georgia,2004,Male,45,Black,Unknown,Male,55,Black
Oklahoma,2004,Female,30,White,Unknown,Male,44,White
Georgia,2004,Male,62,Black,Unknown,Male,53,Black
Arizona,2004,Male,42,Black,Not Hispanic,Male,0,White
California,2004,Male,35,Black,Not Hispanic,Unknown,0,Unknown
Texas,2004,Male,31,Black,Not Hispanic,Male,0,White
Florida,2004,Male,22,White,Unknown,Male,23,White
Oklahoma,2004,Male,36,White,Unknown,Male,43,White
